Propuesta,Link,Empresa,Fecha
QA Automation Engineers y Analistas QA QC - Oficina en Zonamerica,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-automation-engineers-y-analistas-qa-qc-oficina-en-zonamerica-en-montevideo-3A5392D06F642B63,Travelgenio,18 mayo
Desarrolladores JR - Plan de Jovenes Profesionales RyD,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladores-jr-plan-de-jovenes-profesionales-ryd-en-montevideo-05B3E906D6DD5204,BairesDev,17 mayo
Xamarin Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-xamarin-technical-project-manager-en-montevideo-A55377F64BE1A182,BairesDev,17 mayo
Xamarin Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-xamarin-tech-lead-en-salto-73578FCB546204A4,BairesDev,17 mayo
Xamarin Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-xamarin-architect-en-montevideo-6691C3C45C78D296,BairesDev,17 mayo
Xamarin SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-xamarin-ssr-o-sr-en-salto-421B6BE3C8032F3C,BairesDev,17 mayo
Visual Basic 6 SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-visual-basic-6-ssr-o-sr-en-salto-FC19B1F32D48AAE8,BairesDev,17 mayo
UX UI Developer SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ux-ui-developer-ssr-o-sr-en-salto-3CE21AE5121FD693,BairesDev,17 mayo
SysAdmin Linux SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-sysadmin-linux-ssr-o-sr-en-salto-79435D362E63BBF1,BairesDev,17 mayo
SiteCore SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-sitecore-sr-en-montevideo-944E104BBF5AA0A5,BairesDev,17 mayo
Sharepoint,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-sharepoint-en-salto-F2F55959D2326A7D,BairesDev,17 mayo
Security Analyst,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-security-analyst-en-salto-BCBD508EB97860D7,BairesDev,17 mayo
Scala SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-scala-ssr-o-sr-en-salto-C045BE010DF0DDD2,BairesDev,17 mayo
SalesForce Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-salesforce-technical-project-manager-en-montevideo-1D82FF2D601E9984,BairesDev,17 mayo
SalesForce Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-salesforce-tech-lead-en-salto-C72CE47E4BCE7558,BairesDev,17 mayo
SalesForce Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-salesforce-architect-en-montevideo-F39C8AA549EA94DE,BairesDev,17 mayo
SalesForce SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-salesforce-ssr-o-sr-en-salto-1572D4E70583B3BB,BairesDev,17 mayo
Ruby Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ruby-technical-project-manager-en-montevideo-EF1AE20A2D0C07C9,BairesDev,17 mayo
Ruby Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ruby-tech-lead-en-salto-DD3D5C6BD357050A,BairesDev,17 mayo
Ruby Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ruby-architect-en-montevideo-92002BA29F91E421,BairesDev,17 mayo
Ruby SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-ruby-ssr-o-sr-en-salto-342646F5CDE40A66,BairesDev,17 mayo
